id_avaliacao,id_cliente,id_pedido,data_avaliacao,tipo,nota_nps,categoria_nps,nota_produto,nota_atendimento,nota_custo_beneficio,titulo_review,texto_review,sentimento_label,recomendaria,plataforma
REV-000001,CLI-00001,,2025-12-31,NPS,10,Promotor,4,5,5,Melhor investimento do ano,Antes eu ficava horas no Excel tentando entender os números. Agora em 20 minutos tenho tudo pronto.,Positivo,1,NPS In-App
REV-000002,CLI-00002,PED-000002,2025-05-18,NPS,10,Promotor,5,4,4,Vale cada centavo,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,Email pós-compra
REV-000003,CLI-00003,PED-000003,2025-03-23,NPS,10,Promotor,5,4,5,Vale cada centavo,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,NPS In-App
REV-000004,CLI-00004,,2025-12-31,NPS,2,Detrator,1,1,1,Experiência frustrante,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,NPS In-App
REV-000005,CLI-00005,PED-000005,2025-12-11,NPS,10,Promotor,5,5,5,Melhor investimento do ano,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,Email pós-compra
REV-000006,CLI-00006,PED-000008,2025-12-05,NPS,4,Detrator,2,2,2,Vou cancelar,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,Email pós-compra
REV-000007,CLI-00007,PED-000010,2025-12-12,NPS,8,Neutro,5,4,4,Em evolução,Interface poderia ser mais intuitiva. Levei um tempo para entender o fluxo. O suporte ajudou bastante.,Neutro,1,Email pós-compra
REV-000008,CLI-00009,,2025-12-31,NPS,6,Detrator,2,4,3,Vou cancelar,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,Email pós-compra
REV-000009,CLI-00012,PED-000018,2025-02-26,NPS,8,Neutro,4,3,5,Atende o básico,Produto está evoluindo. Esperando as funcionalidades prometidas para renovar com mais entusiasmo.,Neutro,1,Google Forms
REV-000010,CLI-00013,PED-000021,2025-07-22,NPS,6,Detrator,4,2,3,Não entregou o prometido,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,NPS In-App
REV-000011,CLI-00014,PED-000023,2025-12-31,NPS,10,Promotor,5,5,4,Transformou minha rotina de análise,Consegui fazer meu primeiro dashboard em menos de uma hora. Mostrei para a diretoria e foi aprovado na hora.,Positivo,1,Email pós-compra
REV-000012,CLI-00015,PED-000025,2025-12-23,NPS,6,Detrator,3,3,3,Vou cancelar,Prefiro voltar para o Excel. A plataforma é confusa e o suporte não resolve os problemas.,Negativo,0,NPS In-App
REV-000013,CLI-00018,PED-000030,2025-08-23,NPS,6,Detrator,3,3,3,Vou cancelar,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,Email pós-compra
REV-000014,CLI-00019,PED-000032,2025-06-26,NPS,9,Promotor,5,5,5,Vale cada centavo,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,NPS In-App
REV-000015,CLI-00021,PED-000041,2025-05-29,NPS,10,Promotor,5,4,5,Melhor investimento do ano,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,Google Forms
REV-000016,CLI-00024,PED-000046,2025-12-31,NPS,0,Detrator,1,1,1,Decepcionante,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,Email pós-compra
REV-000017,CLI-00025,,2025-12-31,NPS,6,Detrator,3,4,3,Experiência frustrante,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,Email pós-compra
REV-000018,CLI-00026,,2025-12-31,NPS,9,Promotor,5,4,4,Dados que contam histórias,Consegui fazer meu primeiro dashboard em menos de uma hora. Mostrei para a diretoria e foi aprovado na hora.,Positivo,1,NPS In-App
REV-000019,CLI-00028,PED-000051,2025-03-29,NPS,6,Detrator,3,3,3,Vou cancelar,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,Google Forms
REV-000020,CLI-00029,PED-000052,2025-08-04,NPS,5,Detrator,3,3,2,Não entregou o prometido,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,NPS In-App
REV-000021,CLI-00032,PED-000061,2025-12-31,NPS,6,Detrator,3,3,2,Vou cancelar,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,Google Forms
REV-000022,CLI-00033,PED-000063,2025-06-14,NPS,10,Promotor,5,4,5,Dados que contam histórias,Antes eu ficava horas no Excel tentando entender os números. Agora em 20 minutos tenho tudo pronto.,Positivo,1,NPS In-App
REV-000023,CLI-00036,PED-000072,2025-04-16,NPS,8,Neutro,4,5,4,Bom mas pode melhorar,Interface poderia ser mais intuitiva. Levei um tempo para entender o fluxo. O suporte ajudou bastante.,Neutro,1,Google Forms
REV-000024,CLI-00039,PED-000078,2025-11-22,NPS,3,Detrator,1,2,1,Não entregou o prometido,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,Email pós-compra
REV-000025,CLI-00040,PED-000081,2025-04-18,NPS,5,Detrator,4,3,2,Vou cancelar,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,Email pós-compra
REV-000026,CLI-00041,PED-000084,2025-05-05,NPS,10,Promotor,5,4,5,Dados que contam histórias,O suporte é excepcional e o produto entrega exatamente o que promete. Renovei por mais um ano sem pensar.,Positivo,1,Email pós-compra
REV-000027,CLI-00042,PED-000088,2025-10-21,NPS,8,Neutro,4,5,4,Bom mas pode melhorar,Atende bem as necessidades básicas. Alguns recursos que esperava ainda não estão disponíveis.,Neutro,1,Google Forms
REV-000028,CLI-00043,PED-000091,2025-12-23,NPS,7,Neutro,3,3,3,Em evolução,Bom custo-benefício para o que oferece. Gostaria de mais templates prontos.,Neutro,1,Email pós-compra
REV-000029,CLI-00044,PED-000092,2025-04-13,NPS,9,Promotor,5,5,5,Dados que contam histórias,Consegui fazer meu primeiro dashboard em menos de uma hora. Mostrei para a diretoria e foi aprovado na hora.,Positivo,1,Google Forms
REV-000030,CLI-00045,PED-000095,2025-05-22,NPS,10,Promotor,4,4,4,Dados que contam histórias,O suporte é excepcional e o produto entrega exatamente o que promete. Renovei por mais um ano sem pensar.,Positivo,1,Email pós-compra
REV-000031,CLI-00048,PED-000101,2025-04-06,NPS,3,Detrator,2,3,1,Decepcionante,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,Email pós-compra
REV-000032,CLI-00049,PED-000103,2025-06-06,NPS,9,Promotor,5,3,4,Vale cada centavo,O suporte é excepcional e o produto entrega exatamente o que promete. Renovei por mais um ano sem pensar.,Positivo,1,Email pós-compra
REV-000033,CLI-00051,PED-000106,2025-11-25,NPS,10,Promotor,5,5,4,Melhor investimento do ano,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,Google Forms
REV-000034,CLI-00052,PED-000109,2025-09-22,NPS,3,Detrator,2,1,1,Decepcionante,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,Email pós-compra
REV-000035,CLI-00054,PED-000112,2025-07-23,NPS,10,Promotor,5,5,5,Transformou minha rotina de análise,Consegui fazer meu primeiro dashboard em menos de uma hora. Mostrei para a diretoria e foi aprovado na hora.,Positivo,1,NPS In-App
REV-000036,CLI-00057,PED-000119,2025-11-13,NPS,10,Promotor,5,5,5,Dados que contam histórias,Antes eu ficava horas no Excel tentando entender os números. Agora em 20 minutos tenho tudo pronto.,Positivo,1,Google Forms
REV-000037,CLI-00058,PED-000122,2025-12-06,NPS,9,Promotor,5,4,4,Recomendo sem hesitar,Antes eu ficava horas no Excel tentando entender os números. Agora em 20 minutos tenho tudo pronto.,Positivo,1,Email pós-compra
REV-000038,CLI-00060,PED-000125,2025-06-13,NPS,5,Detrator,2,2,2,Vou cancelar,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,Email pós-compra
REV-000039,CLI-00061,PED-000126,2025-10-12,NPS,10,Promotor,5,3,4,Dados que contam histórias,Antes eu ficava horas no Excel tentando entender os números. Agora em 20 minutos tenho tudo pronto.,Positivo,1,Email pós-compra
REV-000040,CLI-00062,PED-000128,2025-06-01,NPS,3,Detrator,1,1,1,Não entregou o prometido,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,NPS In-App
REV-000041,CLI-00063,PED-000131,2025-12-31,NPS,8,Neutro,4,4,5,"Produto bom, falta polimento",Bom custo-benefício para o que oferece. Gostaria de mais templates prontos.,Neutro,1,NPS In-App
REV-000042,CLI-00064,PED-000132,2025-04-20,NPS,9,Promotor,5,4,5,Vale cada centavo,Consegui fazer meu primeiro dashboard em menos de uma hora. Mostrei para a diretoria e foi aprovado na hora.,Positivo,1,Google Forms
REV-000043,CLI-00065,PED-000133,2025-06-29,NPS,5,Detrator,3,1,3,Decepcionante,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,NPS In-App
REV-000044,CLI-00066,PED-000137,2025-06-22,NPS,3,Detrator,1,2,2,Experiência frustrante,Prefiro voltar para o Excel. A plataforma é confusa e o suporte não resolve os problemas.,Negativo,0,Email pós-compra
REV-000045,CLI-00067,PED-000138,2025-07-15,NPS,4,Detrator,2,1,3,Experiência frustrante,Promessas na venda que o produto não cumpre. Suporte demora muito para responder.,Negativo,0,NPS In-App
REV-000046,CLI-00069,PED-000142,2025-03-13,NPS,9,Promotor,5,3,4,Transformou minha rotina de análise,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,NPS In-App
REV-000047,CLI-00070,PED-000143,2025-12-02,NPS,6,Detrator,4,3,3,Decepcionante,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,NPS In-App
REV-000048,CLI-00071,PED-000145,2025-11-28,NPS,9,Promotor,4,5,4,Recomendo sem hesitar,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,Google Forms
REV-000049,CLI-00076,PED-000160,2025-05-31,NPS,3,Detrator,1,1,2,Decepcionante,Prefiro voltar para o Excel. A plataforma é confusa e o suporte não resolve os problemas.,Negativo,0,Email pós-compra
REV-000050,CLI-00077,PED-000161,2025-05-12,NPS,10,Promotor,5,5,5,Melhor investimento do ano,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,Email pós-compra
REV-000051,CLI-00078,PED-000162,2025-07-19,NPS,8,Neutro,5,4,5,"Produto bom, falta polimento",Atende bem as necessidades básicas. Alguns recursos que esperava ainda não estão disponíveis.,Neutro,1,Email pós-compra
REV-000052,CLI-00083,PED-000177,2025-10-04,NPS,8,Neutro,5,3,4,Atende o básico,Bom custo-benefício para o que oferece. Gostaria de mais templates prontos.,Neutro,1,Email pós-compra
REV-000053,CLI-00085,PED-000180,2025-10-22,NPS,7,Neutro,4,4,3,Atende o básico,Interface poderia ser mais intuitiva. Levei um tempo para entender o fluxo. O suporte ajudou bastante.,Neutro,1,Email pós-compra
